ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10911731,JA224340,04/14/2017 10:48:00 AM,007XX N CHRISTIANA AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1121,011,27,23,19,1153909,1904776,2017,04/21/2017 03:50:30 PM,41.894538914,-87.710186524,"(41.894538914, -87.710186524)"
10912308,JA225122,04/14/2017 08:40:00 PM,038XX W ADAMS ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1122,011,28,26,19,1150817,1898737,2017,04/21/2017 03:50:30 PM,41.878028319,-87.721700699,"(41.878028319, -87.721700699)"
10913156,JA226314,04/15/2017 08:05:00 PM,033XX W VAN BUREN ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1134,011,28,27,19,1154253,1897830,2017,04/22/2017 03:52:16 PM,41.875471531,-87.709108672,"(41.875471531, -87.709108672)"
10913964,JA227360,04/16/2017 06:30:00 PM,032XX W WALNUT ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1123,011,28,27,19,1154797,1901447,2017,04/23/2017 03:49:01 PM,41.885386072,-87.707014386,"(41.885386072, -87.707014386)"
10919938,JA233253,04/21/2017 10:10:00 AM,070XX S PAULINA ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0735,007,17,67,19,1166227,1858056,2017,04/28/2017 03:58:42 PM,41.766080013,-87.666278518,"(41.766080013, -87.666278518)"
10923389,JA237675,04/24/2017 06:39:00 PM,015XX W WASHBURNE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1233,012,2,28,19,1166283,1894477,2017,05/01/2017 03:53:39 PM,41.866022043,-87.665035028,"(41.866022043, -87.665035028)"
10923428,JA237757,04/24/2017 07:54:00 PM,011XX N HAMLIN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1112,011,27,23,19,1150837,1907397,2017,05/01/2017 03:53:39 PM,41.901791872,-87.721400499,"(41.901791872, -87.721400499)"
10923537,JA237907,04/24/2017 09:57:00 PM,062XX S MAPLEWOOD AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0825,008,15,66,19,1160441,1863266,2017,05/01/2017 03:53:39 PM,41.780498171,-87.687342915,"(41.780498171, -87.687342915)"
10924879,JA239380,04/25/2017 11:50:00 PM,054XX W ADAMS ST,1661,GAMBLING,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),true,false,1522,015,29,25,19,1140309,1898802,2017,05/02/2017 03:50:33 PM,41.878405695,-87.760282469,"(41.878405695, -87.760282469)"
10926028,JA240461,04/26/2017 06:50:00 PM,063XX S ARTESIAN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0825,008,15,66,19,1161127,1862600,2017,05/03/2017 03:53:47 PM,41.778656405,-87.684846319,"(41.778656405, -87.684846319)"
10928211,JA242791,04/28/2017 02:35:00 PM,048XX W FULTON ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1532,015,28,25,19,1144218,1901500,2017,05/05/2017 03:50:30 PM,41.885736814,-87.74586147,"(41.885736814, -87.74586147)"
10928234,JA242734,04/28/2017 01:19:00 PM,039XX W GRENSHAW ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1132,011,24,29,19,1150341,1894751,2017,05/05/2017 03:50:30 PM,41.867099577,-87.723552444,"(41.867099577, -87.723552444)"
10928626,JA243374,04/28/2017 09:30:00 PM,039XX W ARTHINGTON ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1132,011,24,26,19,1150180,1895743,2017,05/05/2017 03:50:30 PM,41.869824877,-87.724117657,"(41.869824877, -87.724117657)"
10934612,JA250908,05/04/2017 06:52:00 PM,025XX W LITHUANIAN PLAZA CT,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0832,008,15,66,19,1160725,1858818,2017,05/11/2017 03:49:38 PM,41.768286371,-87.686424382,"(41.768286371, -87.686424382)"
10934766,JA250998,05/04/2017 08:00:00 PM,0000X N LECLAIRE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1533,015,28,25,19,1142385,1899723,2017,05/11/2017 03:49:38 PM,41.880894745,-87.752636861,"(41.880894745, -87.752636861)"
10936764,JA253441,05/06/2017 06:34:00 PM,040XX W CARROLL AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1114,011,28,26,19,1149404,1901929,2017,05/13/2017 03:48:31 PM,41.886815035,-87.726806109,"(41.886815035, -87.726806109)"
10938662,JA255958,05/08/2017 07:17:00 PM,078XX S WESTERN AVE,1661,GAMBLING,GAME/DICE,CTA BUS STOP,true,false,0835,008,18,70,19,1161741,1852550,2017,05/15/2017 03:54:29 PM,41.751065032,-87.682873958,"(41.751065032, -87.682873958)"
10939630,JA257255,05/09/2017 06:58:00 PM,065XX S GREEN ST,1661,GAMBLING,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),true,false,0723,007,20,68,19,1171764,1861420,2017,05/16/2017 03:52:21 PM,41.775191608,-87.645884924,"(41.775191608, -87.645884924)"
10943009,JA261232,05/12/2017 06:00:00 PM,039XX W GRENSHAW ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1132,011,24,29,19,1150335,1894751,2017,05/19/2017 03:52:48 PM,41.867099694,-87.723574471,"(41.867099694, -87.723574471)"
10943842,JA262457,05/13/2017 05:15:00 PM,085XX S CARPENTER ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0613,006,21,71,19,1170808,1848158,2017,05/20/2017 03:49:22 PM,41.738819886,-87.649775783,"(41.738819886, -87.649775783)"
10943997,JA262561,05/13/2017 06:50:00 PM,025XX W LITHUANIAN PLAZA CT,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0832,008,15,66,19,1160712,1858818,2017,05/20/2017 03:49:22 PM,41.768286639,-87.686472033,"(41.768286639, -87.686472033)"
10945609,JA264812,05/15/2017 03:44:00 PM,007XX N CHRISTIANA AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1121,011,27,23,19,1153910,1904742,2017,05/22/2017 03:58:12 PM,41.894445595,-87.710183758,"(41.894445595, -87.710183758)"
10946869,JA266188,05/16/2017 02:30:00 PM,008XX N RIDGEWAY AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1112,011,27,23,19,1151236,1905273,2017,05/23/2017 03:50:10 PM,41.895955585,-87.719990688,"(41.895955585, -87.719990688)"
10948365,JA267783,05/17/2017 03:44:00 PM,039XX W GRENSHAW ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1132,011,24,29,19,1150355,1894752,2017,05/24/2017 03:52:36 PM,41.867102048,-87.723501022,"(41.867102048, -87.723501022)"
10950176,JA269765,05/18/2017 06:30:00 PM,004XX N AVERS AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1122,011,27,23,19,1150643,1902782,2017,05/25/2017 03:51:51 PM,41.889131636,-87.722233828,"(41.889131636, -87.722233828)"
10950364,JA270023,05/19/2017 01:06:00 AM,039XX W VAN BUREN ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1132,011,24,26,19,1150266,1897736,2017,05/26/2017 03:49:56 PM,41.87529222,-87.72374996,"(41.87529222, -87.72374996)"
10951481,JA271139,05/19/2017 06:35:00 PM,015XX S CHRISTIANA AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1021,010,24,29,19,1154285,1892181,2017,05/26/2017 03:49:56 PM,41.859969423,-87.709141993,"(41.859969423, -87.709141993)"
10952285,JA272277,05/20/2017 06:01:00 PM,075XX S STEWART AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0623,006,17,69,19,1174930,1855016,2017,05/27/2017 03:52:34 PM,41.757548256,-87.634469566,"(41.757548256, -87.634469566)"
10954410,JA275023,05/22/2017 07:30:00 PM,0000X N LECLAIRE AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1533,015,28,25,19,1142385,1899733,2017,05/29/2017 03:53:27 PM,41.880922186,-87.752636613,"(41.880922186, -87.752636613)"
10958861,JA280223,05/26/2017 04:05:00 PM,057XX S RACINE AVE,1661,GAMBLING,GAME/DICE,PARK PROPERTY,true,false,0712,007,16,68,19,1169300,1866734,2017,06/02/2017 03:54:37 PM,41.789827555,-87.654763892,"(41.789827555, -87.654763892)"
10960639,JA282703,05/28/2017 03:22:00 PM,012XX W 73RD PL,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0734,007,17,67,19,1169094,1856038,2017,06/04/2017 03:51:15 PM,41.760480866,-87.655828204,"(41.760480866, -87.655828204)"
10960811,JA282964,05/28/2017 07:37:00 PM,039XX W JACKSON BLVD,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1122,011,28,26,19,1150169,1898397,2017,06/04/2017 03:51:15 PM,41.877107968,-87.724088882,"(41.877107968, -87.724088882)"
10960884,JA283059,05/28/2017 09:26:00 PM,064XX S TALMAN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0825,008,15,66,19,1159818,1861804,2017,06/04/2017 03:51:15 PM,41.776499057,-87.689667076,"(41.776499057, -87.689667076)"
10965204,JA287762,06/01/2017 10:07:00 AM,057XX S RACINE AVE,1661,GAMBLING,GAME/DICE,PARK PROPERTY,true,false,0712,007,16,68,19,1169300,1866734,2017,06/08/2017 03:47:46 PM,41.789827555,-87.654763892,"(41.789827555, -87.654763892)"
10966645,JA289415,06/02/2017 01:00:00 PM,0000X S WHIPPLE ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1124,011,28,27,19,1156166,1899670,2017,06/09/2017 03:57:47 PM,41.880482282,-87.70203515,"(41.880482282, -87.70203515)"
10967145,JA290155,06/02/2017 10:22:00 PM,063XX S ARTESIAN AVE,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0825,008,15,66,19,1161127,1862600,2017,06/09/2017 03:57:47 PM,41.778656405,-87.684846319,"(41.778656405, -87.684846319)"
10967814,JA291068,06/03/2017 03:40:00 PM,039XX W GRENSHAW ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1132,011,24,29,19,1150341,1894751,2017,06/10/2017 03:49:36 PM,41.867099577,-87.723552444,"(41.867099577, -87.723552444)"
10967847,JA291124,06/03/2017 04:27:00 PM,004XX W 77TH ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,0621,006,17,69,19,1174711,1853873,2017,06/10/2017 03:49:36 PM,41.754416604,-87.635306156,"(41.754416604, -87.635306156)"
10968596,JA292179,06/04/2017 01:20:00 PM,033XX W GLADYS AVE,1661,GAMBLING,GAME/DICE,PARK PROPERTY,true,false,1134,011,28,27,19,1154354,1898103,2017,06/11/2017 03:48:17 PM,41.876218655,-87.708730543,"(41.876218655, -87.708730543)"
10969062,JA292862,06/04/2017 10:30:00 PM,046XX W ERIE ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1111,011,28,25,19,1145176,1903909,2017,06/11/2017 03:48:17 PM,41.892329337,-87.742282525,"(41.892329337, -87.742282525)"
10969872,JA293626,06/05/2017 02:15:00 PM,062XX S MAY ST,1661,GAMBLING,GAME/DICE,VACANT LOT/LAND,true,false,0712,007,16,68,19,1169723,1863368,2017,06/12/2017 03:54:53 PM,41.780581683,-87.653310489,"(41.780581683, -87.653310489)"
10971322,JA295266,06/06/2017 03:33:00 PM,008XX N CENTRAL PARK AVE,1661,GAMBLING,GAME/DICE,RESIDENTIAL YARD (FRONT/BACK),true,false,1121,011,27,23,19,1152230,1905375,2017,06/13/2017 03:52:27 PM,41.896215926,-87.716337217,"(41.896215926, -87.716337217)"
10974493,JA298650,06/08/2017 08:59:00 PM,004XX W 75TH ST,1661,GAMBLING,GAME/DICE,ALLEY,true,false,0732,007,17,68,19,1174481,1855196,2017,06/15/2017 03:50:34 PM,41.758052195,-87.636109738,"(41.758052195, -87.636109738)"
10975512,JA299962,06/09/2017 07:23:00 PM,025XX W LITHUANIAN PLAZA CT,1661,GAMBLING,GAME/DICE,ALLEY,true,false,0832,008,15,66,19,1160712,1858818,2017,06/16/2017 03:52:30 PM,41.768286639,-87.686472033,"(41.768286639, -87.686472033)"
10976150,JA300829,06/10/2017 01:36:00 PM,039XX W GRENSHAW ST,1661,GAMBLING,GAME/DICE,SIDEWALK,true,false,1132,011,24,29,19,1150355,1894752,2017,06/17/2017 03:52:27 PM,41.867102048,-87.723501022,"(41.867102048, -87.723501022)"
